Begin date/time is: Tue Mar 14 08:33:00 2017
        used time is 0 s 0 ms.
line num is :5251
Gen = 0,  Average Cost = 199287.725000, Average Fit = 63303.978556, Min Cost = 161237, Current MinCost = 161237, Current worstCost = 262380
Gen = 1,  Average Cost = 184339.425000, Average Fit = 47588.772804, Min Cost = 157736, Current MinCost = 157736, Current worstCost = 232058
Gen = 2,  Average Cost = 176641.375000, Average Fit = 35659.314579, Min Cost = 157736, Current MinCost = 161613, Current worstCost = 212014
Gen = 3,  Average Cost = 170322.800000, Average Fit = 22719.959196, Min Cost = 157723, Current MinCost = 157723, Current worstCost = 192734
Gen = 4,  Average Cost = 167328.750000, Average Fit = 11195.733161, Min Cost = 150292, Current MinCost = 150292, Current worstCost = 178677
Gen = 5,  Average Cost = 165392.100000, Average Fit = 16420.648288, Min Cost = 150292, Current MinCost = 151298, Current worstCost = 181967
Gen = 6,  Average Cost = 162971.800000, Average Fit = 12631.531215, Min Cost = 150292, Current MinCost = 151586, Current worstCost = 175678
Gen = 7,  Average Cost = 160332.887500, Average Fit = 10816.669293, Min Cost = 150292, Current MinCost = 150895, Current worstCost = 171160
Gen = 8,  Average Cost = 158812.187500, Average Fit = 9024.770642, Min Cost = 150292, Current MinCost = 150827, Current worstCost = 167803
Gen = 9,  Average Cost = 157698.937500, Average Fit = 12696.697915, Min Cost = 150292, Current MinCost = 150357, Current worstCost = 170337
Gen = 10,  Average Cost = 156863.537500, Average Fit = 12246.360574, Min Cost = 147561, Current MinCost = 147561, Current worstCost = 169134
Gen = 11,  Average Cost = 156237.212500, Average Fit = 12069.526318, Min Cost = 144120, Current MinCost = 144120, Current worstCost = 168449
Gen = 12,  Average Cost = 156698.150000, Average Fit = 10650.108631, Min Cost = 144120, Current MinCost = 144671, Current worstCost = 167484
Gen = 13,  Average Cost = 155654.450000, Average Fit = 10622.540722, Min Cost = 142625, Current MinCost = 142625, Current worstCost = 166469
Gen = 14,  Average Cost = 154507.300000, Average Fit = 10113.893943, Min Cost = 142625, Current MinCost = 143811, Current worstCost = 164778
Gen = 15,  Average Cost = 153706.750000, Average Fit = 10857.048218, Min Cost = 142625, Current MinCost = 143117, Current worstCost = 164715
Gen = 16,  Average Cost = 152397.650000, Average Fit = 12015.083166, Min Cost = 142463, Current MinCost = 142463, Current worstCost = 164477
Gen = 17,  Average Cost = 151884.462500, Average Fit = 10500.953744, Min Cost = 141135, Current MinCost = 141135, Current worstCost = 162450
Gen = 18,  Average Cost = 150716.087500, Average Fit = 13016.227654, Min Cost = 141135, Current MinCost = 141651, Current worstCost = 163771
Gen = 19,  Average Cost = 149812.050000, Average Fit = 12884.741221, Min Cost = 140219, Current MinCost = 140219, Current worstCost = 162719
Gen = 20,  Average Cost = 149417.312500, Average Fit = 9808.462369, Min Cost = 137761, Current MinCost = 137761, Current worstCost = 159266
Gen = 21,  Average Cost = 149329.600000, Average Fit = 10061.094494, Min Cost = 137710, Current MinCost = 137710, Current worstCost = 159500
Gen = 22,  Average Cost = 148559.750000, Average Fit = 12088.538656, Min Cost = 135680, Current MinCost = 135680, Current worstCost = 160799
Gen = 23,  Average Cost = 148482.662500, Average Fit = 14059.623062, Min Cost = 135109, Current MinCost = 135109, Current worstCost = 162668
Gen = 24,  Average Cost = 146224.837500, Average Fit = 12164.720029, Min Cost = 133593, Current MinCost = 133593, Current worstCost = 158449
Gen = 25,  Average Cost = 144663.662500, Average Fit = 13156.181743, Min Cost = 133593, Current MinCost = 134777, Current worstCost = 157834
Gen = 26,  Average Cost = 142943.787500, Average Fit = 12296.816523, Min Cost = 132685, Current MinCost = 132685, Current worstCost = 155247
Gen = 27,  Average Cost = 141337.125000, Average Fit = 10717.371885, Min Cost = 132063, Current MinCost = 132063, Current worstCost = 152104
Gen = 28,  Average Cost = 140918.900000, Average Fit = 7435.745470, Min Cost = 131553, Current MinCost = 131553, Current worstCost = 148377
Gen = 29,  Average Cost = 141127.087500, Average Fit = 13216.839783, Min Cost = 131553, Current MinCost = 133463, Current worstCost = 154366
Gen = 30,  Average Cost = 140726.112500, Average Fit = 13990.213656, Min Cost = 131553, Current MinCost = 133470, Current worstCost = 154641
Gen = 31,  Average Cost = 140375.525000, Average Fit = 10977.846833, Min Cost = 130469, Current MinCost = 130469, Current worstCost = 151369
Gen = 32,  Average Cost = 140388.750000, Average Fit = 16611.362087, Min Cost = 130469, Current MinCost = 131001, Current worstCost = 157006
Gen = 33,  Average Cost = 139331.012500, Average Fit = 10570.126283, Min Cost = 129213, Current MinCost = 129213, Current worstCost = 149858
Gen = 34,  Average Cost = 139118.050000, Average Fit = 8794.203370, Min Cost = 129213, Current MinCost = 129269, Current worstCost = 147850
Gen = 35,  Average Cost = 138362.112500, Average Fit = 9917.083754, Min Cost = 128641, Current MinCost = 128641, Current worstCost = 148388
Gen = 36,  Average Cost = 138491.800000, Average Fit = 10708.542735, Min Cost = 128641, Current MinCost = 128641, Current worstCost = 149317
Gen = 37,  Average Cost = 138607.562500, Average Fit = 10450.679491, Min Cost = 128641, Current MinCost = 129500, Current worstCost = 149167
Gen = 38,  Average Cost = 139074.850000, Average Fit = 12299.221907, Min Cost = 128641, Current MinCost = 129145, Current worstCost = 151506
Gen = 39,  Average Cost = 139302.287500, Average Fit = 9263.791784, Min Cost = 128641, Current MinCost = 129456, Current worstCost = 148683
Gen = 40,  Average Cost = 138784.550000, Average Fit = 9215.862500, Min Cost = 128641, Current MinCost = 130613, Current worstCost = 148095
Gen = 41,  Average Cost = 138007.712500, Average Fit = 12792.762495, Min Cost = 128641, Current MinCost = 130915, Current worstCost = 150859
Gen = 42,  Average Cost = 136841.862500, Average Fit = 12193.727822, Min Cost = 126673, Current MinCost = 126673, Current worstCost = 149082
Gen = 43,  Average Cost = 137126.850000, Average Fit = 10940.477870, Min Cost = 126673, Current MinCost = 126673, Current worstCost = 148114
Gen = 44,  Average Cost = 136264.450000, Average Fit = 10281.059062, Min Cost = 126638, Current MinCost = 126638, Current worstCost = 146590
Gen = 45,  Average Cost = 135886.650000, Average Fit = 7905.153702, Min Cost = 126638, Current MinCost = 129566, Current worstCost = 143783
Gen = 46,  Average Cost = 135572.750000, Average Fit = 9932.349486, Min Cost = 126638, Current MinCost = 127392, Current worstCost = 145523
Gen = 47,  Average Cost = 134627.587500, Average Fit = 13360.885906, Min Cost = 126638, Current MinCost = 127477, Current worstCost = 147968
Gen = 48,  Average Cost = 134122.612500, Average Fit = 7902.078194, Min Cost = 126300, Current MinCost = 126300, Current worstCost = 141983
Gen = 49,  Average Cost = 133215.562500, Average Fit = 8615.027545, Min Cost = 125416, Current MinCost = 125416, Current worstCost = 141793
Gen = 50,  Average Cost = 132770.750000, Average Fit = 8012.816589, Min Cost = 124965, Current MinCost = 124965, Current worstCost = 140852
Gen = 51,  Average Cost = 132585.387500, Average Fit = 9430.444738, Min Cost = 124965, Current MinCost = 125581, Current worstCost = 142078
Gen = 52,  Average Cost = 131462.962500, Average Fit = 8225.086511, Min Cost = 124016, Current MinCost = 124016, Current worstCost = 139714
Gen = 53,  Average Cost = 131050.987500, Average Fit = 10350.310178, Min Cost = 122175, Current MinCost = 122175, Current worstCost = 141517
Gen = 54,  Average Cost = 130813.975000, Average Fit = 9467.495655, Min Cost = 122159, Current MinCost = 122159, Current worstCost = 140350
Gen = 55,  Average Cost = 130737.912500, Average Fit = 8749.966115, Min Cost = 121495, Current MinCost = 121495, Current worstCost = 139624
Gen = 56,  Average Cost = 130334.350000, Average Fit = 11134.688207, Min Cost = 121495, Current MinCost = 122550, Current worstCost = 141592
Gen = 57,  Average Cost = 129313.262500, Average Fit = 11079.949814, Min Cost = 121495, Current MinCost = 121531, Current worstCost = 140503
Gen = 58,  Average Cost = 128132.450000, Average Fit = 10303.553846, Min Cost = 121143, Current MinCost = 121143, Current worstCost = 138536
Gen = 59,  Average Cost = 127406.737500, Average Fit = 12384.171082, Min Cost = 119138, Current MinCost = 119138, Current worstCost = 139923
Gen = 60,  Average Cost = 127572.362500, Average Fit = 9636.069963, Min Cost = 119138, Current MinCost = 119302, Current worstCost = 137339
Gen = 61,  Average Cost = 127162.062500, Average Fit = 8588.699084, Min Cost = 118148, Current MinCost = 118148, Current worstCost = 135796
Gen = 62,  Average Cost = 127696.975000, Average Fit = 10876.379309, Min Cost = 117777, Current MinCost = 117777, Current worstCost = 138654
Gen = 63,  Average Cost = 127210.987500, Average Fit = 13676.296400, Min Cost = 117745, Current MinCost = 117745, Current worstCost = 140980
Gen = 64,  Average Cost = 126126.500000, Average Fit = 9473.987781, Min Cost = 117745, Current MinCost = 118235, Current worstCost = 135649
Gen = 65,  Average Cost = 126104.775000, Average Fit = 10813.958861, Min Cost = 115614, Current MinCost = 115614, Current worstCost = 137069
Gen = 66,  Average Cost = 126409.100000, Average Fit = 12135.620650, Min Cost = 115614, Current MinCost = 117657, Current worstCost = 138682
Gen = 67,  Average Cost = 125216.437500, Average Fit = 9633.850679, Min Cost = 115614, Current MinCost = 116729, Current worstCost = 134962
Gen = 68,  Average Cost = 125444.975000, Average Fit = 9903.203089, Min Cost = 115614, Current MinCost = 117443, Current worstCost = 135458
Gen = 69,  Average Cost = 124964.775000, Average Fit = 9447.071693, Min Cost = 115614, Current MinCost = 117035, Current worstCost = 134513
Gen = 70,  Average Cost = 124894.762500, Average Fit = 8399.956901, Min Cost = 115614, Current MinCost = 117035, Current worstCost = 133389
Gen = 71,  Average Cost = 124661.575000, Average Fit = 12972.490473, Min Cost = 114454, Current MinCost = 114454, Current worstCost = 137810
Gen = 72,  Average Cost = 124947.112500, Average Fit = 12534.158837, Min Cost = 114454, Current MinCost = 115427, Current worstCost = 137650
Gen = 73,  Average Cost = 124764.637500, Average Fit = 12792.455328, Min Cost = 114454, Current MinCost = 115915, Current worstCost = 137709
Gen = 74,  Average Cost = 124330.737500, Average Fit = 10268.750877, Min Cost = 113925, Current MinCost = 113925, Current worstCost = 134660
Gen = 75,  Average Cost = 123982.937500, Average Fit = 9331.071300, Min Cost = 113925, Current MinCost = 114986, Current worstCost = 133351
Gen = 76,  Average Cost = 123960.400000, Average Fit = 8559.857508, Min Cost = 110262, Current MinCost = 110262, Current worstCost = 132622
Gen = 77,  Average Cost = 124091.237500, Average Fit = 9973.023417, Min Cost = 110262, Current MinCost = 111026, Current worstCost = 134183
Gen = 78,  Average Cost = 124106.675000, Average Fit = 11418.066113, Min Cost = 110262, Current MinCost = 112368, Current worstCost = 135649
Gen = 79,  Average Cost = 124632.675000, Average Fit = 9547.161820, Min Cost = 110262, Current MinCost = 110262, Current worstCost = 134306
Gen = 80,  Average Cost = 124149.487500, Average Fit = 11838.011905, Min Cost = 110262, Current MinCost = 112789, Current worstCost = 136112
Gen = 81,  Average Cost = 123774.712500, Average Fit = 9153.547109, Min Cost = 110262, Current MinCost = 111804, Current worstCost = 133028
Gen = 82,  Average Cost = 122195.587500, Average Fit = 13063.170604, Min Cost = 110262, Current MinCost = 111427, Current worstCost = 135358
Gen = 83,  Average Cost = 122349.312500, Average Fit = 11434.288994, Min Cost = 110262, Current MinCost = 112425, Current worstCost = 133868
Gen = 84,  Average Cost = 122960.962500, Average Fit = 9741.754045, Min Cost = 110262, Current MinCost = 110741, Current worstCost = 132800
Gen = 85,  Average Cost = 122842.612500, Average Fit = 12457.473270, Min Cost = 110262, Current MinCost = 112425, Current worstCost = 135401
Gen = 86,  Average Cost = 122854.237500, Average Fit = 10630.118576, Min Cost = 110262, Current MinCost = 113931, Current worstCost = 133560
Gen = 87,  Average Cost = 123102.537500, Average Fit = 8944.439060, Min Cost = 110262, Current MinCost = 113829, Current worstCost = 132119
Gen = 88,  Average Cost = 122456.487500, Average Fit = 9689.886327, Min Cost = 110262, Current MinCost = 113937, Current worstCost = 132208
Gen = 89,  Average Cost = 121574.137500, Average Fit = 10645.776711, Min Cost = 110262, Current MinCost = 111667, Current worstCost = 132290
Gen = 90,  Average Cost = 120534.750000, Average Fit = 12785.366561, Min Cost = 110262, Current MinCost = 110946, Current worstCost = 133381
Gen = 91,  Average Cost = 120504.900000, Average Fit = 10967.295905, Min Cost = 110262, Current MinCost = 114191, Current worstCost = 131449
