Begin date/time is: Mon Mar 13 08:29:14 2017
 	used time is 0 s 0 ms.
line num is :785 
Gen = 0,  Average Cost = 5019.260000, Average Fit = 1780.740000, Min Cost = 3719, Current MinCost = 3719, Current worstCost = 6800
Gen = 1,  Average Cost = 5575.575000, Average Fit = 11597.522058, Min Cost = 3588, Current MinCost = 3588, Current worstCost = 17078
Gen = 2,  Average Cost = 4565.385000, Average Fit = 1035.815694, Min Cost = 3588, Current MinCost = 3588, Current worstCost = 5600
Gen = 3,  Average Cost = 4549.545000, Average Fit = 1038.782671, Min Cost = 3588, Current MinCost = 3588, Current worstCost = 5587
Gen = 4,  Average Cost = 4385.375000, Average Fit = 1082.431577, Min Cost = 3588, Current MinCost = 3588, Current worstCost = 5465
Gen = 5,  Average Cost = 4234.075000, Average Fit = 1107.331256, Min Cost = 3438, Current MinCost = 3438, Current worstCost = 5344
Gen = 6,  Average Cost = 4221.335000, Average Fit = 1177.837566, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 5406
Gen = 7,  Average Cost = 4201.475000, Average Fit = 1175.884986, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 5384
Gen = 8,  Average Cost = 4204.360000, Average Fit = 838.234445, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 5048
Gen = 9,  Average Cost = 4215.585000, Average Fit = 1057.742759, Min Cost = 3180, Current MinCost = 3362, Current worstCost = 5279
Gen = 10,  Average Cost = 4168.060000, Average Fit = 832.387207, Min Cost = 3180, Current MinCost = 3380, Current worstCost = 5005
Gen = 11,  Average Cost = 4114.430000, Average Fit = 889.615677, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 5009
Gen = 12,  Average Cost = 4104.235000, Average Fit = 949.671748, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 5059
Gen = 13,  Average Cost = 4105.195000, Average Fit = 830.166614, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 4940
Gen = 14,  Average Cost = 4066.810000, Average Fit = 899.584128, Min Cost = 3180, Current MinCost = 3180, Current worstCost = 4971
Gen = 15,  Average Cost = 3986.260000, Average Fit = 950.609819, Min Cost = 3000, Current MinCost = 3000, Current worstCost = 4941
Gen = 16,  Average Cost = 3895.820000, Average Fit = 1087.389118, Min Cost = 3000, Current MinCost = 3170, Current worstCost = 4986
Gen = 17,  Average Cost = 3880.360000, Average Fit = 1064.082522, Min Cost = 3000, Current MinCost = 3000, Current worstCost = 4948
Gen = 18,  Average Cost = 3900.715000, Average Fit = 844.250746, Min Cost = 3000, Current MinCost = 3000, Current worstCost = 4748
Gen = 19,  Average Cost = 3869.315000, Average Fit = 1197.414612, Min Cost = 3000, Current MinCost = 3064, Current worstCost = 5070
Gen = 20,  Average Cost = 3793.805000, Average Fit = 961.031844, Min Cost = 3000, Current MinCost = 3064, Current worstCost = 4757
Gen = 21,  Average Cost = 3770.865000, Average Fit = 1081.587405, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4855
Gen = 22,  Average Cost = 3767.255000, Average Fit = 879.918801, Min Cost = 2998, Current MinCost = 3064, Current worstCost = 4649
Gen = 23,  Average Cost = 3765.430000, Average Fit = 793.728869, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4561
Gen = 24,  Average Cost = 3763.775000, Average Fit = 942.980173, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4709
Gen = 25,  Average Cost = 3728.560000, Average Fit = 1134.360703, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4865
Gen = 26,  Average Cost = 3692.410000, Average Fit = 914.124027, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4608
Gen = 27,  Average Cost = 3638.135000, Average Fit = 714.379609, Min Cost = 2998, Current MinCost = 2998, Current worstCost = 4353
Gen = 28,  Average Cost = 3632.785000, Average Fit = 1068.798631, Min Cost = 2968, Current MinCost = 2968, Current worstCost = 4707
Gen = 29,  Average Cost = 3628.585000, Average Fit = 1148.141183, Min Cost = 2968, Current MinCost = 3062, Current worstCost = 4781
Gen = 30,  Average Cost = 3606.025000, Average Fit = 790.124784, Min Cost = 2968, Current MinCost = 2968, Current worstCost = 4401
Gen = 31,  Average Cost = 3603.340000, Average Fit = 873.219837, Min Cost = 2968, Current MinCost = 3045, Current worstCost = 4481
Gen = 32,  Average Cost = 3588.370000, Average Fit = 781.056930, Min Cost = 2968, Current MinCost = 2984, Current worstCost = 4374
Gen = 33,  Average Cost = 3572.005000, Average Fit = 1032.543018, Min Cost = 2968, Current MinCost = 2984, Current worstCost = 4609
Gen = 34,  Average Cost = 3545.990000, Average Fit = 954.858992, Min Cost = 2968, Current MinCost = 2984, Current worstCost = 4505
Gen = 35,  Average Cost = 3565.575000, Average Fit = 858.012556, Min Cost = 2968, Current MinCost = 2984, Current worstCost = 4428
Gen = 36,  Average Cost = 3535.340000, Average Fit = 914.496431, Min Cost = 2968, Current MinCost = 2968, Current worstCost = 4454
Gen = 37,  Average Cost = 3515.870000, Average Fit = 776.256603, Min Cost = 2968, Current MinCost = 2968, Current worstCost = 4296
Gen = 38,  Average Cost = 3488.085000, Average Fit = 1081.769795, Min Cost = 2968, Current MinCost = 2968, Current worstCost = 4573
